Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
Grasmere Court Hotel,,,,,,,,
Civic Offices,,Town Hall,,,,,,
Bell House Hotel,,,,,,,,
Boxley House,,Country House,100,,,,,
"The Pines, Chippenham",,,,,,,,
The Manor House Museum,,Museum,,,,,,
Hook ,,,,,,,,
Havering Registry Office,,Town Hall,,,,,,
Northallerton Registry Office,,Town Hall,1900,,,,,
Newham College Of Further Education,,Educational Centre,,,,,,
Leeds Town Hall,,Town Hall,1900,,,,,
High Peak Registry Office,,Town Hall,1900,,,,,
Eastleigh Register Office,,Town Hall,1900,,,,,
"County Hall, North Yorkshire",,Town Hall,,,,,,
Catterick Golf Club,,Golf Course,,,,,,
"County Hall, Nottingham",,Town Hall,2,2,1900,,,
Brent Registry Office,,Town Hall,1900,,,,,
Birkenhead Town Hall,,Town Hall,,,,,,
Brambletye Hotel,,70,70,,,,,
Calderdale Registry Office,,Town Hall,12,12,,,,
Avondale Hotel,,35,50,,,,,
"The Town Hall, Hereford",,Town Hall,200,200,1900,,,
Williton Registration Office,,Town Hall,1900,,,,,
The Porton,,5,,,,,,
Wheatley Registration Office,,Town Hall,1900,,,,,
"The Registry Office, Retford",,Town Hall,1900,,,,,
"The Registry Office, Barrow in Furness",,Town Hall,1900,,,,,
The Bracknell Room,,Town Hall,,,,,,
Hastings Town Hall,,Town Hall,60,,,,,
Ashton Town Hall,,Town Hall,,,,,,
Boathouse19,,Cruise,10,10,,,,
Arundel House,,,,,,,,
The Almar,,16,16,1900,,,,
The Phoenix,,Pub,,,,,,
Richmond Town Hall,,Town Hall,,,,,,
Jessie Hughes Village Hall,,Town Hall,80,,,,,
"Victoria Hotel, Sidmouth",,1900,,,,,,
Soho House,,Country House,,,,,,
Tavistock Town Council Chamber,,Town Hall,,,,,,
Screen On The Green Cinema,,Cinema,,,,,,
Swanage Town Hall,,Town Hall,,,,,,
Shepton Mallet Registry Office,,Town Hall,1900,,,,,
Shropshire Register Office,,Town Hall,1900,,,,,
Sherborne Town Council Chamber,,Town Hall,,,,,,
Rotherham Registry Office,,Town Hall,,,,,,
Rutland House,,Country House,70,,,,,
"The Registry Office, Bolton",,Town Hall,,,,,,
Rumwell Manor Hotel,,Country House,,,,,,
Aberdeen House,,Town Hall,40,40,1900,,,
Oundle Registration Office,,Town Hall,1900,,,,,
Abingdon Registration Office,,Town Hall,1900,,,,,
North Tyneside Register Office,,Town Hall,,,,,,
The Lodge At Leeming Bar,,120,,,,,,
Bridgenorth Library,,Museum,,,,,,
The Cresswell Arms,,,,,,,,
Ilkeston Town Hall and Registry Office,,Town Hall,,,,,,
Bodicote House,,Country House,56,56,,,,
Bromyard Registry Office,,Town Hall,100,100,,,,
Black Label Events,,Sporting Venue,250,400,1900,,,
Bassetlaw District Council,,Town Hall,,,,,,
Brook Royal Oak Hotel,,1900,,,,,,
Ivybridge Town Hall,,Town Hall,,,,,,
Kettering Registration Office,,Town Hall,42,42,1900,,,
Helston Registration Office,,Town Hall,25,25,1900,,,
Herefordshire Registry Office,,Town Hall,36,Invalid date,1900,,,
Preston Registry Office,,Town Hall,200,200,12:00 PM,12:15 AM,1900,
Penzance Registration Office,,Town Hall,1900,,,,,
Brett Vale Golf Club,,Golf Course,120,,,,,
"The Town Hall, Malborough",,Town Hall,1900,,,,,
The Parrot Inn,,Pub,100,180,1900,,,
City Hall,,Town Hall,,,,,,
Boston Registration Office,,Town Hall,50,50,,,,
"The Town Hall, Peterborough",,Town Hall,1900,,,,,
Northumberland Registrars,,Town Hall,1900,,,,,
Liston Hotel,,,,,,,,
Liverpool Registry Office,,Town Hall,,,,,,
Loughborough Town Hall,,Town Hall,180,180,,,,
Royal National Hotel,,550,600,1900,,,,
Riverbank Park Plaza Hotel,,540,660,1900,,,,
Cockermouth Registry Office,,Town Hall,,,,,,
Great Yarborough Borough Council,,Town Hall,,,,,,
"Black Bull, Hexham",,Pub,,,,,,
Lorna Doone,,20,20,,,,,
Morley Town Hall,,Town Hall,,,,,,
Lucorum and Latinos,,Pub,,,,,,
Purdy Lodge,,,,,,,,
Queen Elizabeth Conference Centre,,,,,,,,
Peels Arms Hotel,,Pub,30,,,,,
"Lion Hotel, St. Neots",,1900,,,,,,
Winchester Register Office,,1900,,,,,,
Blackpool Borough Council,,,,,,,,
Blackburn with Darwen Registry Office,,1900,,,,,,
Fell Foot Park Tea Room,,1900,,,,,,
"The Registry Office, Yate",,Town Hall,1900,,,,,
The Court Lodge Centre,,Barn,,,,,,
Bonghybo,,,,,,,,
The Old Dungeon Ghyll Hotel,,,,,,,,
"The Registry Office, Gateshead",,Town Hall,1900,,,,,
"The Registry Office, Bridgwater",,Town Hall,15,15,1900,,,
"The Kings Arms, Berkhamsted",,Pub,1900,,,,,
Stoke on Trent Registry Office,,Town Hall,1900,,,,,
"Town Hall, Wallasey",,Town Hall,1900,,,,,
"The Registry Office, Chichester",,Town Hall,1900,,,,,
"The Registry Office, Doncaster",,1900,,,,,,
Barnet Registry Office,,,,,,,,
"The Registry Office, Braintree",,Town Hall,1900,,,,,
Travellers Rest Old Church,,Place Of Worship,,,,,,
Cornwall Registry Office,,1900,,,,,,
The Oxford,,,,,,,,
Wedding By Design,,,,,,,,
Telford & Wrekin Registry Office,,,,,,,,
5 Star Celebrations,,,,,,,,
Bay Liberty's On The Square Hotel,,1900,,,,,,
Woodford Bridge Hotel & Country Club,,,,,,,,
Barnsley Registry Office,,,,,,,,
Bishops Table Hotel,,,,,,,,
Bodmin Registration Office,,,,,,,,
Gara Rock Hotel,,,,,,,,
Barking & Dagenham Registry Office,,,,,,,,
Eyre Court,,,,,,,,
Fountain Hotel,,,,,,,,
Hawthorn Hotel,,14,,,,,,
"The Registry Office, Wisbech",,Town Hall,1900,,,,,
Euston Hall,,Stately Home,40,,,,,
"The Registry Office, Leicester",,Town Hall,1900,,,,,
"The Registry Office, Andover",,Town Hall,32,32,1900,,,
"The Register Office, Saltash",,Town Hall,1900,,,,,
The River Room,,Events Space,600,600,1900,,,
"The Registry Office, Burton On Trent",,Town Hall,1900,,,,,
"The Register Office, Edgware",,Town Hall,1900,,,,,
"The Bedford Hotel, Lancashire",,1900,,,,,,
River Bourne Health Club,,,,,,,,
Stockton on Tees Registry Office,,,,,,,,
St Helens Town Hall,,,,,,,,
Southwark Registry Office,,,,,,,,
"The Register Office, Warwick",,,,,,,,
"The Register Office, Devizes",,,,,,,,
"The Register Office, Walsall",,,,,,,,
"The Register Office, Wolverhampton",,,,,,,,
"The Register Office, Carlisle",,1900,,,,,,
"The Register Office, Hounslow",,,,,,,,
"The Register Office, Camborne",,1900,,,,,,
"The Register Office, Bournemouth",,1900,,,,,,
"The Register Office, Kings Lynn",,1900,,,,,,
"Novotel, Birmingham (Broad Street)",,1900,,,,,,
Leominster Registry Office,,1900,,,,,,
Norfolk Suite at Aldercarr Hall,,,,,,,,
"The Registry Office, Ashbourne",,1900,,,,,,
"The Register Office, High Wycombe",,1900,,,,,,
"The Register Office, Ealing",,1900,,,,,,
"The Register Office, Wigton",,1900,,,,,,
"The Town Hall, Blackburn",,1900,,,,,,
"The Town Hall, Sudbury",,1900,,,,,,
Betchworth Park GC,,100,100,,,,,
"Balmoral Hotel, Bournemouth",,,,,,,,
The Great Oak Hall,,,,,,,,
South Derbyshire Registry Office,,,,,,,,
Knowsley Registry Office,,,,,,,,
Harold Club,,Country House,,,,,,
Penrith Registry Office,,1900,,,,,,
"The Register Office, Kingston upon Hull",,1900,,,,,,
Chester Register Office,,,,,,,,
The Woodhall Spa Hotel,,,,,,,,
"The Registry Office, Atherstone",,1900,,,,,,
Prittlewell Priory,,100,100,,,,,
Henley Registration Office,,Town Hall,1900,,,,,
"The Registry Office, Tamworth",,Town Hall,1900,,,,,
"The Register Office, Ipswich",,,,,,,,
Octagon Unitarian Chapel,,Place Of Worship,,,,,,
"The Register Office, Middlesborough",,,,,,,,
"The Register Office, Nuneaton",,,,,,,,
Toby Carvery Watermillock,,25,25,1900,,,,
"The Register Office, Solihull",,,,,,,,
Daventry Registration Office,,,,,,,,
"The Register Office, Lewes",,1900,,,,,,
"The Registry Office, Macclesfield",,1900,,,,,,
Harrow Registry Office,,,,,,,,
"The Registry Office, Fareham",,Town Hall,1900,,,,,
"The Register Office, Lichfield",,1900,,,,,,
"The Register Office, Millom",,1900,,,,,,
"The Register Office, East Staffordshire",,1900,,,,,,
"The Register Office, Totnes",,1900,,,,,,
"The Register Office, Cannock",,1900,,,,,,
"The Register Office, Chelmsford",,1900,,,,,,
"The Registry Office, Hereford",,1900,,,,,,
"The Register Office, Morden",,1900,,,,,,
"The Registry Office, Basildon",,1900,,,,,,
Bishops Waltham Register Office,,,,,,,,
"The Register Office, Pontypool",,1900,,,,,,
"The Register Office, Downham Market",,,,,,,,
"The Ceremony Suite, Barnsley",,1900,,,,,,
"The Register Office, Southport",,1900,,,,,,
"The Registry Office, Cirencester",,1900,,,,,,
"The Register Office, Fakenham",,1900,,,,,,
"The Registry Office, Peterborough - Thorpe Road",,1900,,,,,,
Karizma Function Suite,,,,,,,,
Churnet Valley Railway,,,,,,,,
"The Register Office, Hackney, London",,1900,,,,,,
Bac Venues,,,,,,,,
Townleigh Estate,,,,,,,,
Fairfax Hotel,,,,,,,,
"The Register Office, Kendal",,1900,,,,,,
"The Register Office, Bristol",,1900,,,,,,
The York Dungeon,,,,,,,,
Morepour,,,,,,,,
Nyetim,,Country House,,,,,,
Bishops Court Manor House,,Country House,,,,,,
Tower Hamlets Registry Office,,1900,,,,,,
Malik House,,Country House,100,,,,,
President Hotel,,1900,,,,,,
Beckenham Place Park,,,,,,,,
Box End Park,,,,,,,,
Stonebridge Park,,,,,,,,
Golden Hinde Educational Museum,,,,,,,,
Myristica,,,,,,,,
Frenchgate,,,,,,,,
Prince Hall Hotel,,,,,,,,
Totally Tipi,,,,,,,,
Richmond Hotel B&B,,,,,,,,
The Medieval Hall,,Medieval Hall,,,,,,
Soho Farmhouse,,,,,,,,
Salthouse Harbour Hotel,,,,,,,,
Nandini Indian Restaurant,,,,,,,,
Highwayman,,200,200,,,,,
Ely House Hotel,,,,,,,,
The Old School Guest House,,,,,,,,
Stanhope Register Office,,1900,,,,,,
Four Ashes Hall,,,,,,,,
Falmout,,1900,,,,,,
HPS Hote,,,,,,,,
Frintononsea Cricket Club,,,,,,,,
A - V Custom Image,,,,,,,,
The Piece Hall,,1900,,,,,,
Moro Restaurant,,Pub,,,,,,
Timeless Weddings Company,,,,,,,,
"The Register Office, Runcorn",,1900,,,,,,
Gorse Lodge,,,,,,,,
"Goodwood Hotel, Kent",,,,,,,,
"The Registry Office, Bishop Auckland",,1900,,,,,,
De Wintons,,,,,,,,
North Yorkshire Registry Office,,1900,,,,,,
Julie Rose Stadium,,,,,,,,
Rye Hill Golf Club,,Golf Course,200,250,,,,
Cheltenham Registry Office,,,,,,,,
West Berkshire Registry Office,,Town Hall,1900,,,,,
"The Registry Office, Chesterfield",,Town Hall,1900,,,,,
"The Registry Office, Colchester",,Town Hall,1900,,,,,
Queen Elizabeth Hall,,1900,,,,,,
Nottingham Castle,,1900,,,,,,
Riverside Inn,,Pub,,,,,,
"The Registry Office, Grays",,Town Hall,,,,,,
The White Cliffs Hotel,,150,180,,,,,
Beeches,,City Hotel,130,180,,,,
Folly Field,,Garden,200,,,,,
19th Hole at Carswell,,Golf Course,100,4,,,,
"Council Chamber, Bromley",,Town Hall,120,120,,,,
The Madeley Centre,,Community Centre,110,,,,,
Bedales School,,Schools,400,400,,,,
Brantwood Lodge,,Country House,40,60,,,,
College Court Conference Centre,,Conference Centre,168,168,123,,,
Sheraton Heathrow Hotel,,City Hotel,160,200,,,,
Spirella Ballroom,,City Hotel,125,180,,,,
Watermark,,City Hotel,210,282,1900,,,
Thames Motor Yacht Club,,Cruise,110,130,,,,
St George's College Surrey,,School,300,300,,,,
Middlesbrough Football Club,,Sporting Venue,220,220,,,,
The Dundas Arms,,Pub,50,100,,,,
Sefton North Registry Office,,Town Hall,80,,,,,
The Royal Exchange,,City Hotel,250,,,,,
Castle Armoury,,Castle,400,800,,,,
The Exmoor White Horse Inn,,Pub,90,,,,,
"Clifton Hotel, Folkestone",,100,100,,,,,
The Sibson Inn,,Pub,120,150,19,,,
Laskill Country House,,Country House,27,70,,,,
Leamington Golf and Country Club,,Golf Course,130,,,,,
Weald and Downland Open Air Museum,,Museum,150,150,,,,
Stockwood Vale Golf Club,,£31,Golf Course,55,90,,,
St George Hotel Darlington,,£27,120,,,,,
The Mercure Maidstone Great Danes Hotel,,400,400,,,,,
Sid Valley Country House Hotel,,Country House,70,70,,,,
Sewerby Hall and Gardens,,Garden,90,120,,,,
Stovells's Chobham ,,Pub,70,,,,,
St. Paul's Walden Bury,,Country House,1000,1000,,,,
The Ravensdene Lodge Hotel,,£25,200,,,,,
Toynbee Hall,,City Hotel,100,100,,,,
Timsbury Manor Weddings,,Garden,,,,,,
Royal Oak Hotel,,75,75,,,,,
The Woodville,,Theatre,420,,,,,
Woodlands Country House Hotel,,Country House,50,,,,,
Mercure Sheffield Parkway,,100,150,1900,,,,
Timbers Country Lodge,,Pub,120,300,,,,
Porthpean Golf Club,,Golf Course,30,100,,,,
Ingatestone Hall,,Stately Home,60,200,,,,
Pryors Hayes Golf Club,,Golf Course,120,150,,,,
"The Priory Centre, Cambridgeshire",,Conference Centre,250,250,,,,
The Rufford Arms,,60,140,14,,,,
The Inn on the Green,,Pub,76,250,,,,
Ariana Gardens,,Garden,Standard Room,More than 50,Yes,20,,
Fitzwilliam Arms Hotel,,100,100,42,,,,
Clock Barn Hall,,Barn,160,1900,,,,
The Alexandra Court Hotel,,£40,City Hotel,40,70,14,,
Three Horseshoes Inn,,Pub,178,220,26,1900,,
Rio Grande,,City Hotel,550,,,,,
Old Moat Hall,,Country House,350,,,,,
Elizabeth Hotel The Mill,,80,100,,,,,
Finch Hatton Arms,,Pub,100,,,,,
The Knoll Country House Hotel,,Country House,,,,,,
Deal Town Hall,,Town Hall,80,,,,,
Hever Castle Golf Club,,Golf Course,,,,,,
Lord Hill Hotel,,200,,,,,,
Eastbourne Bandstand,,Bandstand,600,,,,,
Heswall Hall,,Town Hall,150,150,,,,
Cranleigh Golf and Country Club,,£83,60,Golf Course,140,140,,
The Old Manor House Hotel,,Stately Home,60,150,,,,
Girton College,,£32,40,College,200,200,Standard Room,
The Albert Hall (Nottingham),,£13,Conference Centre,160,220,,,
Holliers Hotel,,90,250,28,,,,
Hammonds Mill,07:00 AM,Garden,500,500,2,4,Honeymoon Suite,
Easton Grange,,Barn,180,250,,,,
Henley Golf and Country Club,,Golf Course,130,150,,,,
The Saracens Head,,Pub,150,,,,,
Tickton Grange,,Country House,150,150,,,,
"Whitworth Hall Hotel, Best Western",,£45,Country House,100,120,,,
Winchester College Enterprises,,£60,College,90,120,,,
Me Hotel,,City Hotel,250,300,,,,
Springfields Events and Conference Centre,,Conference Centre,600,700,,,,
The Oaktree,,Barn,200,220,,,,
Bannatyne Spa Hotel,,Country House,300,300,1900,,,
Manorial Barn Whiston,,Barn,,,,,,
Burton Agnes Hall,,£60,Country House,150,150,,,
The Old Finsbury Town Hall,,Town Hall,120,200,12:00 PM,,,
Athenaeum Hotel,,City Hotel,60,100,,,,
The George Inn,,£40,Pub,120,120,,,
"Grove House, Harrogate",,Country House,50,,,,,
Chalk Farm Hotel,11:00 AM,Country House,45,95,8,24,Standard Room,
Langley Priory,,Country House,150,150,,,,
Scorrier House,,Country House,120,160,,,,
Tor Spa Retreat,,Spa,15,50,,,,
Chesham Town Hall,,Town Hall,80,100,1900,,,
Quorn Lodge Hotel,,£18,£22,Country House,80,120,,
The Electric Cinema,,Cinema,106,106,1900,,,
Strawberry Bank Hotel and Restaurant,,£45,£65,120,150,55,,
Hanham Community Centre,,City Hotel,200,240,,,,
Abbey House Gardens,,£40,Garden,200,200,,,
Angel Inn,,£50,Pub,70,120,,,
The Cary Arms,,£65,£135,Country Hotel,40,80,1900,
Garrack Hotel,,£20,£60,80,45,80,,
Newstead Abbey,,Abbey,120,120,,,,
Azur at The Marina Pavilion,300,£25,£69,40,"£1,000",1000,Pub,
Bishopswood House,,Country House,80,500,,,,
The Colonnade Boutique Hotel,Honeymoon Suite,£50,30,City Hotel,60,85,44,5
Downsview,,Garden,500,500,,,,
Bletchley Masonic Centre,,Masonic Centre,130,180,,,,
Institute of Contemporary Arts,1900,£154,£223,40,Arts Venue,84,150,
Bleak House,,Country House,65,,,,,
Chadderton Town Hall,,Town Hall,100,200,,,,
"Bannatyne Hotel, Darlington",,120,150,11:30 am,1:00 am,1900,,
Tern Hill Hall Hotel,,Country House,150,,,,,
Eastbourne Riviera Hotel,,£11,100,120,,,,
Axnoller House,Honeymoon Suite,£70,12,Barn,250,250,34,
Spring Lodge 17th Century Barn,,Conference Centre,150,200,05:00 PM,12:00 PM,,
Kings Newmarket,,£55,£100,City Hotel,140,140,,
Leicester Tigers Rugby Club,,£15,£32,Sporting Venue,500,500,,
Kidderminster Harriers FC,,£30,£30,Sporting Venue,140,200,,
Cowplain Activity Centre,,Activity Centre,300,300,,,,
Cedar Court Hotel Huddersfield/Halifax,,£23,£50,City Hotel,300,300,,
The Saxon Mill,,£15,£45,Pub,70,100,11:00 PM,
Kingswood Events,,Country House,160,160,11:30 PM,,,
Chak 89,,£25,Banquet Hall,500,350,Changing Only,Yes,
"Blueprint Cafe, Design Museum",,Pub,120,170,,,,
The Loft Lounge Birmingham,,Pub,180,300,,,,
"The Cavendish Hotel, Baslow",,42,42,,,,,
Catthorpe Manor,,£50,£150,Country House,165,250,,
Whitbourne Hall,2005,Country House,130,200,Changing Only,08:00 AM,01:00 AM,
Trafford Hall,,£16,£31,Country House,70,,,
The Barn on The Bay,,1900,,,,,,
York Marriott Hotel,More than 50,£39,70,110,150,149,Standard Room,
Frensham Heights,,1900,,,,,,
Proud East,,1900,,,,,,
The Coach and Horses Kews,,,,,,,,
ropies barn,,1900,,,,,,
Coldham Hall Tavern,,55,150,1900,Between 30 and 50,,,
Score Valley Country House,,Country House,20,20,20,,,
Lindisfarne Castle,,Castle,30,10:00 am,6:00 pm,1900,,
Lindum Hotel,,120,150,1900,,,,
Bishop Grosseteste University,,education/college,,,,,,
Blue Duck Barn,,Barn,90,200,More than 50,,,
Sea Life London Aquarium,,Museum,180,180,Invalid date,1900,,
Mannington Estate,,,,,,,,
Holiday Inn Rochester-Chatham,,150,149,1900,,,,
Studio Spaces,,2009,More than 50,,,,,
Woodspring Golf and Country Club,,,,,,,,
St John's School,,School,150,200,,,,
Claydon Country House Hotel,,Country House,120,,,,,
The Wessex Royale Hotel,,60,60,29,2,,,
Scaynes Hall Millennium Village Centre,,Village hall,100,150,Between 30 and 50,,,
The Beehive Inne,,Pub,50,3,,,,
White Hart Inn,,160,12,1900,,,,
Spanish City,,2018,Between 30 and 50,,,,,
Copthorne Hotel Newcastle,,Honeymoon Suite,1991,More than 50,Yes,,,
The Smugglers' Den Inn,,Pub,,,,,,
California Barn,,Barn,80,03:30 PM,10:30 PM,,,
Novotel Southampton,,City Hotel,500,500,1900,,,
Hallmark Hotel and Spa,,City Hotel,200,200,83,Honeymoon Suite,1900,
Lansdowne Hotel & Conference Centre,,Conference Centre,100,120,40,80,Standard Room,
The Paddocks Hotel,,£5,250,,,,,
The Red Lion Country Inn,10:00 AM,Pub,50,40,15,30,Standard Room,
The Bristol Golf and Country Club,,Golf Course,120,,,,,
The Chimney House Hotel,,80,120,50,100,Honeymoon Suite,,
Ridgeway Country Hotel,,50,100,,,,,
The Grosvenor Arms,,Pub,60,60,16,32,Standard Room,
Tantara Country Hotel,,City Hotel,80,100,8,16,Standard Room,
Pub On The Park,,Pub,70,70,,,,
the still and west,35,Pub,12:00 AM,11:00 PM,1900,More than 50,Yes,
"Future Inn, Bristol",,City Hotel,149,,,,,
"The Bridge Inn, Castleford",,Pub,80,140,,,,
Stowe Landscape Gardens,,Garden,500,500,1900,,,
Sherfield Oaks Golf Club,,Golf Course,120,200,,,,
The Ricoh Arena,,Sporting Venue,3600,5000,121,,,
The Chapel Bar,,City Hotel,80,180,,,,
"Queens Hotel, Southsea",,150,200,75,Honeymoon Suite,More than 50,Yes,
"The Lion Hotel, Shropshire",,120,200,,,,,
"The Falcon Hotel, Bude",,180,400,Honeymoon Suite,,,,
Rousham House,,Country House,200,Yes,,,,
Sheraton Skyline Hotel London Heathrow,,200,350,,,,,
Baby Moon,,Garden,8,32,1900,Between 10 and 30,Yes,
Notmine Hotel,,Garden,22,22,02:00 PM,,,
"Crown Plaza, Battersea",,City Hotel,140,200,,,,
Athena,,City Hotel,800,1000,,,,
Tarr Farm Inn,,Inn,20,20,9,18,Standard Room,
"The Bell Hotel, Suffolk",,80,110,15,40,,,
Lutterworth Town Hall,,Town Hall,,,,,,
Oaklands Hall Hotel,07:00 AM,£63,150,200,46,2,Honeymoon Suite,
Rookwood Farm House,,Country House,250,300,12,Standard Room,,
Gillingham Town Hall,,Town Hall,60,60,More than 50,Yes,,
"The George Hotel, Castle Cary",12,100,100,14,30,07:00 AM,Yes,
Castle Bromwich Hall Hotel,,£60,Country House,150,150,,,
The Great Barr Hotel,,City Hotel,80,200,92,1900,,
The Fence Gate ,,200,300,24,60,09:00 AM,01:00 AM,
Calstock Arts,,Old Chapel,70,,,,,
Hallmark Hotel Gloucester,,£50,City Hotel,200,200,1900,,
Shaftesbury Town Council,,Town Hall,80,,,,,
The Old Lighthouse,,Museum,30,30,,,,
Forest Lodge Hotel,,150,1900,,,,,
Hilton Puckrup Hall & Golf,5,113,Honeymoon Suite,07:00 AM,12:00 PM,1900,More than 50,
Woolston Manor Golf & Country Club,,Golf Course,250,500,,,,
The Marquis at Alkham,02:00 AM,Pub,60,100,10,Standard Room,11:00 AM,
The Elmfield,,Private House,50,50,9,20,1900,
Westgate Chapel,More than 50,Place Of Worship,60,40,09:00 AM,11:00 PM,1700,
Thames Leisure,,Cruise,80,375,,,,
Pavilion at Brookfield Manor,,Country House,10,More than 50,Yes,,,
"The White Hart, Abingdon",Between 10 and 30,Pub,70,100,12:00 PM,01:00 AM,2005,
Heath Cottage Hotel,,Country Hotel,65,100,Honeymoon Suite,,,
Hassop Hall Hotel,,City Hotel,140,140,,,,
Cherwell Boathouse,,Garden,125,125,,,,
Froginwell Vineyard,2,Barn,120,150,2012,More than 50,Yes,
Wormsley Estate,,Stately Home,70,100,,,,
Hundith Hill Hotel,,160,200,20,Honeymoon Suite,,,
The Shipley Art Gallery,Less than 10,Museum,50,120,11:00 AM,11:00 PM,1917,
Blunsdon House Hotel,,180,180,108,Honeymoon Suite,1900,More than 50,
Newcastle Castle,Less than 10,Castle,80,100,10:00 AM,01:00 AM,2015,
"The Crown Hotel, Dorset",,150,1900,,,,,
Best Western Cresta Court Hotel,,£35,80,300,350,147,Honeymoon Suite,
Theatre Royal Drury Lane,Between 10 and 30,Theatre,118,350,10:00 AM,05:00 PM,2013,
The Future Gallery,,City Hotel,50,100,09:00 PM,01:00 AM,Yes,
The Palm,,Pub,100,200,2018,,,
The New Sandringham Court Hotel,12:00 PM,80,100,36,90,Honeymoon Suite,09:00 AM,
DIY Weddings Cotswolds,12:00 AM,Garden,120,120,98,97,10:00 AM,
The Tab Venue,,City Hotel,150,200,Yes,,,
Langdale Chase Hotel,,Pub,120,120,,,,
Brighouse Civic Hall,10,Civic Hall,300,09:00 AM,02:00 AM,1900,More than 50,
Dan’s Meadow,,Garden,400,1900,,,,
Paternoster,,Pub,200,200,1900,Yes,,
The Loose Box Bar and Kitchen,,Pub,140,240,12:00 PM,,,
Osmaston Park,,Marquee,500,500,9:00 AM,1:00 AM,1900,
"Hallmark Hotel, Hull",1900,£57,City Hotel,130,200,11:00 am,12:30 am,
Sandford Springs Golf Club,,Golf Course,140,200,,,,
The Waie Inn,Standard Room,£35,Pub,200,300,16,32,
Reids,,Pub,80,120,,,,
Parkhill Hotel,,150,250,17,34,Standard Room,,
March Golf Club,,Golf Course,100,180,12:00 PM,More than 50,Yes,
Paschoe House ,10,£145,60,"£14,200",60,120,300,2017
Gidleigh Park Hotel,,50,50,24,50,Honeymoon Suite,,
Wilderness Woodland Weddings,,Garden,10:00 AM,01:00 AM,1900,,,
Longstowe Hall,,Country House,150,150,Yes,,,
The Tolhouse Gaol Museum,,Museum,50,1900,,,,
The Jugged Hare,,Pub,50,75,1900,,,
The Curdridge Reading Room and Recreational Ground,,Village Hall,60,80,09:00 AM,Between 10 and 30,Yes,
Lattenbury Hill,,Garden,450,450,07:00 AM,12:00 PM,1900,
"The Guildhall, St ives",,Town Hall,500,500,1900,,,
Anne Of Cleves House,,Museum,50,,,,,
Tremenheere Sculpture Gardens,,Garden,70,,,,,
Garden Museum,,Museum,120,150,05:00 PM,11:30 PM,,
"The White Hart Hotel, Lewes",,130,130,51,102,Standard Room,,
The Yellow Broom,,£85,£95,20,Restaurant,90,140,
Armathwaite Hall Country House Hotel and Spa,Yes,£75,Country House,120,120,Honeymoon Suite,More than 50,
Dunwell Farm,,Barn,150,200,5,,,
Purbeck House Hotel,,100,150,Honeymoon Suite,1997,More than 50,Yes,
Gipsy Hill Hotel,02:00 PM,£25,100,200,20,2,Honeymoon Suite,
Dalby Forest Visitor Centre,,Garden,60,80,08:00 AM,09:00 PM,Yes,
DUSK Weddings & Events,,Unique Venue,120,200,2019,Between 10 and 30,Yes,
Fairwater Head Hotel,Between 30 and 50,Country House,60,80,16,32,Honeymoon Suite,
The Belgrave Rooms,,£12,£45,Conference Centre,360,400,1900,
The Lothersdale Hotel & Aspect Bar,,£25,£53,110,150,Standard Room,1900,
Treganhoe Farm Wedding & Event Venue,,Marquee/Tipi ,40,1900,,,,
Aylestone Court Hotel,11:45 PM,£45,40,120,6,Honeymoon Suite,10:00 AM,
The Painswick,More than 50,60,60,16,32,Honeymoon Suite,2016,
Claverton Country House,7,£110,£150,16,Country House,20,20,2007
Elvey Farm Country Hotel,Honeymoon Suite,£115,Barn,120,150,11,30,
Ealing Town Hall,,Town Hall,250,400,More than 50,,,
Stovells,,Country House,70,2012,Between 30 and 50,Yes,15,
Holiday Inn Darlington A1 Scotch Corner,01:00 AM,325,350,91,180,Standard Room,01:00 AM,
Greywood Hall,20,Conference Centre,200,200,2008,More than 50,Yes,
"The Sun Pavilion, Harrogate",5,Pavillion,150,200,1895,More than 50,Yes,
Congleton Town Hall,,Town Hall,180,200,Changing Only,08:00 AM,12:00 AM,
The Royal Lodge,1:00 AM,140,160,25,58,Honeymoon Suite,11:00 AM,
South Of England Event Centre,,Events venue,350,450,,,,
Macdonald Linden Hall Hotel,Yes,Country House,200,200,50,Honeymoon Suite,More than 50,
Essendon Country Club,1900,Country Club,130,250,Changing Only,08:00 AM,12:00 AM,
Shaw End Mansion,09:00 AM,Country House,60,120,9,18,Standard Room,2
Stonebridge Golf Club,1996,"£1,500",Golf Course,150,200,08:00 AM,12:30 AM,
RIBA - The Royal Institute of British Architects,,City Hotel,220,400,Changing Only,,,
Uttoxeter Racecoure,,Sporting Venue,150,250,08:00 AM,12:00 AM,,
Lee Wood Hotel,1957,City Hotel,120,225,40,85,Honeymoon Suite,
Ocean,2012,Sea front venue,200,350,Changing Only,09:00 AM,12:00 AM,
Lynford Hall Hotel,1900,250,500,38,Honeymoon Suite,07:00 AM,12:00 AM,
Maisemore Court Lakeside Events,2010,Garden,100,200,Changing Only,08:00 AM,12:30 AM,
The Mytton and Mermaid Hotel,,120,Honeymoon Suite,More than 50,,,,
Whittington's Tea Barge,04:30 PM,£25,£70,20,Pub,27,10:30 AM,
The Beacon House,06:00 PM,Country House,80,80,4,8,Standard Room,
